Date, Open, High, Low,Close
02/01/2008 23:00:00,154.98,158.74,154.98,158.2
03/01/2008 23:00:00,158.16,159.02,157.38,158.06
04/01/2008 23:00:00,158.1,158.34,156.03,156.62
07/01/2008 23:00:00,156.72,157.33,153.4,154.26
08/01/2008 23:00:00,154.28,156.47,154.19,155.12
09/01/2008 23:00:00,155.17,156.9,154.35,154.84
10/01/2008 23:00:00,154.72,155.17,152.19,153.17
11/01/2008 23:00:00,153.17,153.58,151.24,151.61
14/01/2008 23:00:00,151.85,153.36,151.34,153.26
15/01/2008 23:00:00,153.17,153.31,149.91,150.55
16/01/2008 23:00:00,150.65,150.81,148.19,149.98
17/01/2008 23:00:00,149.93,151.12,148.5,148.79
18/01/2008 23:00:00,148.94,150.29,148.59,149.39
21/01/2008 23:00:00,149.41,149.83,147.39,147.53
22/01/2008 23:00:00,147.39,149.13,144.91,148.56
23/01/2008 23:00:00,148.64,148.93,146.14,147.46
24/01/2008 23:00:00,147.21,149.24,146.5,148.88
25/01/2008 23:00:00,149.04,150.87,149.01,150.21
28/01/2008 23:00:00,150.11,150.85,148.27,150.53
29/01/2008 23:00:00,150.54,151.78,149.82,151.73
30/01/2008 23:00:00,151.82,152.19,150.73,151.29
31/01/2008 23:00:00,151.26,151.79,149.07,150.89
01/02/2008 23:00:00,150.85,151.61,147.95,148.39
04/02/2008 23:00:00,148.15,150.32,147.56,149.48
05/02/2008 23:00:00,149.47,149.49,147.02,147.73
06/02/2008 23:00:00,147.76,148.43,146.15,146.48
07/02/2008 23:00:00,146.55,147.87,145.73,147.85
08/02/2008 23:00:00,147.78,151.47,147.49,151.18
11/02/2008 23:00:00,151.25,154.21,150.41,153.16
12/02/2008 23:00:00,153.1,153.64,151.55,151.97
13/02/2008 23:00:00,151.99,153.38,151.4,152.75
14/02/2008 23:00:00,152.71,155.07,152.71,154.79
15/02/2008 23:00:00,154.71,156.16,154.15,155.16
18/02/2008 23:00:00,154.86,155.94,154.73,155.46
19/02/2008 23:00:00,155.37,159.39,155.27,159.11
20/02/2008 23:00:00,159.12,160.4,157.53,159.46
21/02/2008 23:00:00,159.55,159.87,156.41,157.03
22/02/2008 23:00:00,157.04,158.91,156.7,158.65
25/02/2008 23:00:00,158.53,159.24,157.29,158.81
